distance_m,rssi
134.080548,-81.675875
17.969268,-55.468004
95.258853,-77.200627
99.765374,-77.845720
112.368707,-79.377335
129.066283,-81.157788
86.701599,-75.976263
99.759094,-77.845738
101.655895,-78.089753
115.117217,-79.667664
40.407273,-66.047623
66.226607,-72.472084
86.493654,-75.945547
126.943345,-80.985697
134.432734,-81.728094
136.432397,-81.914929
78.116275,-74.659455
91.922722,-76.773733
100.439919,-77.928081
111.999014,-79.337961
114.715272,-79.639386
33.791172,-63.694189
68.038700,-72.814435
76.036919,-74.265965
78.055742,-74.647152
94.288344,-77.068576
101.409299,-78.057459
110.971335,-79.223958
126.677827,-80.957873
30.498935,-62.365114
65.520484,-72.333147
100.851395,-77.987122
101.669604,-78.091866
110.974770,-79.225748
38.457403,-65.403403
64.826592,-72.193179
85.817772,-75.843420
125.615202,-80.848930
132.843211,-81.573429
134.856502,-81.763920
18.781772,-56.052868
74.146405,-73.934712
99.489514,-77.796560
101.834729,-78.112115
107.688888,-78.797488
131.221015,-81.394016
134.719525,-81.748940
33.596348,-63.621835
69.076765,-73.013199
73.925194,-73.897674
77.317647,-74.523670
92.723363,-76.849433
101.333925,-78.047748
111.008308,-79.228444
125.368776,-80.822287
33.567849,-63.612885
35.607914,-64.378109
90.614059,-76.580110
100.897040,-77.991309
100.991993,-78.004103
107.207794,-78.740914
126.085196,-80.853926
132.387889,-81.527674
31.018491,-62.579933
37.500907,-65.074050
100.986113,-78.005002
101.297830,-78.044628
111.670360,-79.272260
112.328564,-79.383718
130.484395,-81.322933
19.077163,-56.242511
92.113376,-76.762107
99.767822,-77.846097
110.968831,-79.213399
125.559883,-80.798164
85.361125,-75.771837
99.759629,-77.846117
101.908003,-78.121987
111.294530,-79.227013
36.549984,-64.739562
63.437378,-71.909880
85.145746,-75.741109
124.362070,-80.718106
131.310447,-81.422107
133.325379,-81.615201
76.643731,-74.411707
89.631630,-76.446532
98.388308,-77.659855
110.560964,-79.169771
113.943566,-79.552236
33.334307,-63.517712
70.041414,-73.192888
71.834550,-73.524874
76.578781,-74.399216
91.180634,-76.631599
101.251976,-78.036986
111.014439,-79.228736
124.128281,-80.692663
31.491083,-62.781311
62.736910,-71.766369
100.931721,-77.997670
102.054239,-78.141081
110.992772,-79.227986
34.680260,-64.054927
62.053306,-71.621505
84.473569,-75.638248
123.175121,-80.593317
129.827861,-81.274355
131.832850,-81.468939
19.885958,-56.796849
70.003175,-73.185391
97.383308,-77.517797
102.094650,-78.145662
102.939607,-78.209749
127.652248,-81.036314
131.702876,-81.454451
32.982589,-63.380964
69.786935,-73.147445
70.910722,-73.354300
75.841668,-74.273328
89.681520,-76.415085
101.159998,-78.025274
110.978991,-79.224758
122.956871,-80.569091
32.931831,-63.365442
38.059003,-65.244027
88.269049,-76.239146
101.052033,-78.012361
100.977068,-78.001940
102.434935,-78.148194
122.413242,-80.469365
129.396882,-81.230758
31.956845,-62.969353
33.756583,-63.704424
101.122959,-78.021593
101.053742,-78.013096
107.759001,-78.807478
113.667292,-79.536909
126.933012,-80.964172
20.179300,-56.975835
89.098459,-76.328762
99.768988,-77.846503
109.434726,-79.032012
121.862767,-80.408939
84.024375,-75.565642
99.761965,-77.846524
102.175847,-78.156048
107.372035,-78.759420
32.846269,-63.348331
60.667712,-71.327966
83.810576,-75.534346
122.060673,-80.474648
128.400363,-81.130396
130.391959,-81.325323
75.166127,-74.158481
87.240465,-76.096008
96.218479,-77.370299
108.989682,-78.983755
113.029249,-79.448047
32.551450,-63.210218
67.772756,-72.765584
71.696294,-73.498166
75.101707,-74.145615
88.213545,-76.199816
101.061089,-78.012734
110.908376,-79.216665
121.852858,-80.451656
32.383171,-63.145187
59.972561,-71.179019
101.019953,-78.008473
102.475787,-78.193964
110.871633,-79.213420
39.508757,-65.734226
71.914867,-73.537972
102.481226,-78.193964
112.836320,-79.425128
114.339715,-79.612818
31.059901,-62.618558
59.295723,-71.028528
83.134051,-75.429475
121.011080,-80.362179
127.028405,-80.990500
128.985315,-81.184468
20.996309,-57.499864
65.990854,-72.417767
95.153208,-77.217252
97.997746,-77.569689
102.376656,-78.180939
